atom_label,signal_label
H1,c1ax
H2,c1eq
H3,c2ax
H4,c2eq
H5,c3ax
H6,c3eq
H7,c4ax
H8,c4eq
H9,c5eq
H10,c5ax
H11,c6eq
H12,c6ax
H13,c7ax
H14,c7eq
H15,c8eq
H16,c8ax
H17,a1ax
H18,a1eq
H19,Me1
H20,Me1
H21,Me1
H22,a2ax
H23,a2eq
H24,Me2
H25,Me2
H26,Me2
H27,a3ax
H28,a3eq
H29,Me3
H30,Me3
H31,Me3
H32,apax
H33,apeq
H34,py3
H35,py4
H36,py6
H37,tBu
H38,tBu
H39,tBu
H40,tBu
H41,tBu
H42,tBu
H43,tBu
H44,tBu
H45,tBu
