#This file was generated with SimpNMR v1.2.1 on 18:23:35 04-12-2025 
# Data taken from file /Users/ernestborysenko/git/simpnmr/examples/fitting/fit_susc_corr_time/FeH/DATA/Q_CHEM/FeH_opt_Cs_HFC_TPSSH_def2TZVP.out
atom_label, Aiso (MHz), Adip_xx (MHz), Adip_xy (MHz), Adip_xz (MHz), Adip_yy (MHz), Adip_yz (MHz), Adip_zz (MHz)
H25, -0.00916, 0.02431, -0.16301, 0.05752, 0.07098, -0.06604, -0.09529
H26, -0.00358, -0.03259, -0.23951, 0.09210, 0.17770, -0.14028, -0.14561
H27, -0.00343, 0.03533, -0.25796, 0.03381, 0.13856, -0.03506, -0.17339
H28, 0.06085, -2.70179, 0.52651, 0.91252, -0.78842, 3.49852, 3.49021
H29, -0.05381, -1.04280, -0.29000, -0.21438, 0.68231, 1.67993, 0.36049
H30, 0.07737, -0.63470, 0.35038, 0.46630, 0.05275, 1.08153, 0.58195
H31, -0.12274, 2.67448, 2.25014, 2.36094, -1.47405, 0.90002, -1.20043
H32, -0.17397, 0.26425, 0.83252, 0.72096, -0.09450, 0.59765, -0.16974
H33, 0.04236, 0.74088, 1.38970, 0.35557, 0.08412, 0.28135, -0.82500
H34, 0.03135, -0.30022, 0.48415, 0.08373, 0.76787, 0.20933, -0.46766
H35, -0.31295, -0.26118, 0.36031, 0.15483, 0.45875, 0.43344, -0.19807
H36, 0.04257, -0.52549, 0.15151, 0.02494, 0.88351, 0.41156, -0.35802
H37, 0.02374, -0.77717, -0.75931, 0.44094, 0.92852, -1.41535, -0.15135
H38, 0.02538, -2.47239, -0.61221, 0.85697, -0.09573, -3.64115, 2.56813
H39, 0.07492, -0.75390, 0.02096, -0.05364, 0.29232, -1.15349, 0.46108
H40, -0.02091, 0.43854, 1.36164, -0.58764, 0.22646, -0.56103, -0.66499
H41, -0.03868, -0.19296, 0.70354, -0.67166, 0.07640, -0.84173, 0.11656
H42, -0.06018, 0.89058, 2.35145, -2.97998, -0.95275, -1.90532, 0.06217
H43, 0.02017, -0.51838, 0.04599, 0.02589, 0.94371, -0.31080, -0.42533
H44, -0.54782, -0.32697, 0.23330, -0.09175, 0.55450, -0.44573, -0.22753
H45, 0.02516, -0.35403, 0.41933, -0.08445, 0.81839, -0.20983, -0.46437
H46, -0.05381, -1.04280, 0.29000, -0.21438, 0.68231, -1.67993, 0.36049
H47, 0.06085, -2.70179, -0.52651, 0.91252, -0.78842, -3.49852, 3.49021
H48, 0.07737, -0.63470, -0.35038, 0.46630, 0.05275, -1.08153, 0.58195
H49, -0.12274, 2.67448, -2.25014, 2.36094, -1.47405, -0.90002, -1.20043
H50, 0.04236, 0.74088, -1.38970, 0.35557, 0.08412, -0.28135, -0.82500
H51, -0.17397, 0.26425, -0.83252, 0.72096, -0.09450, -0.59765, -0.16974
H52, 0.04257, -0.52549, -0.15151, 0.02494, 0.88351, -0.41156, -0.35802
H53, -0.31295, -0.26118, -0.36031, 0.15483, 0.45875, -0.43344, -0.19807
H54, 0.03135, -0.30022, -0.48415, 0.08373, 0.76787, -0.20933, -0.46766
H55, 0.02538, -2.47239, 0.61221, 0.85697, -0.09573, 3.64115, 2.56813
H56, 0.02374, -0.77717, 0.75931, 0.44094, 0.92852, 1.41535, -0.15135
H57, 0.07492, -0.75390, -0.02096, -0.05364, 0.29232, 1.15349, 0.46108
H58, -0.06018, 0.89058, -2.35145, -2.97998, -0.95275, 1.90532, 0.06217
H59, -0.03868, -0.19296, -0.70354, -0.67166, 0.07640, 0.84173, 0.11656
H60, -0.02091, 0.43854, -1.36164, -0.58764, 0.22646, 0.56103, -0.66499
H61, 0.02516, -0.35403, -0.41933, -0.08445, 0.81839, 0.20983, -0.46437
H62, -0.54782, -0.32697, -0.23330, -0.09175, 0.55450, 0.44573, -0.22753
H63, 0.02017, -0.51838, -0.04599, 0.02589, 0.94371, 0.31080, -0.42533
