#temperature 238.91 
#larmor 600
#isotope 1H 13C
assignment,shift,width,area
C1,202.2,1,1
C2,39.8,1,1
C3,259.3,1,1
C4,17.7,1,1
C5,198.0,1,1
C6,-193.2,1,1
C7,0.4,1,1
C8,70.7,1,1
C9,-1194.7,1,1
C10,-517.7,1,1
H2,7.52,1,1
H4,23.92,1,1
H8,4.53,1,1
H9,-86.3,1,1
H11,-8.70,1,1
H12,-4385,1,1
