#temperature 340.15
#magnetic_field 9.4
#isotope 1H
assignment,shift,width,area
tpy1, 132.51,1,1
tphz1,90.195,1,1
tpy5, 69.78,1,1
tpy4, 69.286,1,1
tpy2, 42.556,1,1
tphz2,40.171,1,1
tpy6, 16.043,1,1
tpy3, 13.362,1,1
tphz3,11.944,1,1
