#temperature 258.15
#larmor 400
#isotope 1H
assignment,shift,width,area
tpy1, 178.3986,1,1
tphz1,119.5357,1,1
tpy5, 91.8167,1,1
tpy4, 90.7788,1,1
tpy2, 55.1524,1,1
tphz2,51.9064,1,1
tpy6, 19.4897,1,1
tpy3, 15.654,1,1
tphz3,12.9801,1,1
