#temperature 323.51
#larmor 600
#isotope 1H 13C
assignment,shift,width,area
C1,184.2,1,1
C2,60.7,1,1
C3,229.5,1,1
C4,44.2,1,1
C5,184.7,1,1
C6,-97.2,1,1
C7,9.4,1,1
C8,61.4,1,1
C9,-870.6,1,1
C10,-372.5,1,1
C11,100.6,1,1
H2,7.83,1,1
H4,20.17,1,1
H8,3.79,1,1
H9,-62.1,1,1
H11,-6.47,1,1
H12,-3247,1,1
