#temperature 267.28
#magnetic_field 11.75
#isotope 13C
signal_label,shift (ppm),width (Hz),area ()
C3,1111.88,439.64,6.30
C1,841.88,664.71,5.25
C2_down,444.26,222.78,10.19
C4,187.46,54.6,1.62
C5,151.59,23.53,1.73
C7,147.22,24.11,1.58
C6,143.63,22.18,1.00
C2_up,116.12,175.81,6.01
