# This file was generated with ParaNMR v1.15.0 at 22:26:56 22-07-2026 
shift (ppm),intensity (a.u.)
-111.740147,0.000511
-111.737942,0.000512
-111.735737,0.000512
-111.733532,0.000512
-111.731327,0.000512
-111.729122,0.000512
-111.726917,0.000512
-111.724712,0.000512
-111.722507,0.000512
-111.720302,0.000512
-111.718097,0.000512
-111.715892,0.000513
-111.713687,0.000513
-111.711483,0.000513
-111.709278,0.000513
-111.707073,0.000513
-111.704868,0.000513
-111.702663,0.000513
-111.700458,0.000513
-111.698253,0.000513
-111.696048,0.000513
-111.693843,0.000514
-111.691638,0.000514
-111.689433,0.000514
-111.687228,0.000514
-111.685023,0.000514
-111.682818,0.000514
-111.680613,0.000514
-111.678408,0.000514
-111.676203,0.000514
-111.673998,0.000514
-111.671794,0.000515
-111.669589,0.000515
-111.667384,0.000515
-111.665179,0.000515
-111.662974,0.000515
-111.660769,0.000515
-111.658564,0.000515
-111.656359,0.000515
-111.654154,0.000515
-111.651949,0.000515
-111.649744,0.000516
-111.647539,0.000516
-111.645334,0.000516
-111.643129,0.000516
-111.640924,0.000516
-111.638719,0.000516
-111.636514,0.000516
-111.634309,0.000516
-111.632104,0.000516
-111.629900,0.000516
-111.627695,0.000517
-111.625490,0.000517
-111.623285,0.000517
-111.621080,0.000517
-111.618875,0.000517
-111.616670,0.000517
-111.614465,0.000517
-111.612260,0.000517
-111.610055,0.000517
-111.607850,0.000517
-111.605645,0.000518
-111.603440,0.000518
-111.601235,0.000518
-111.599030,0.000518
-111.596825,0.000518
-111.594620,0.000518
-111.592415,0.000518
-111.590211,0.000518
-111.588006,0.000518
-111.585801,0.000518
-111.583596,0.000519
-111.581391,0.000519
-111.579186,0.000519
-111.576981,0.000519
-111.574776,0.000519
-111.572571,0.000519
-111.570366,0.000519
-111.568161,0.000519
-111.565956,0.000519
-111.563751,0.000519
-111.561546,0.000520
-111.559341,0.000520
-111.557136,0.000520
-111.554931,0.000520
-111.552726,0.000520
-111.550522,0.000520
-111.548317,0.000520
-111.546112,0.000520
-111.543907,0.000520
-111.541702,0.000520
-111.539497,0.000521
-111.537292,0.000521
-111.535087,0.000521
-111.532882,0.000521
-111.530677,0.000521
-111.528472,0.000521
-111.526267,0.000521
-111.524062,0.000521
-111.521857,0.000521
-111.519652,0.000521
-111.517447,0.000522
-111.515242,0.000522
-111.513037,0.000522
-111.510832,0.000522
-111.508628,0.000522
-111.506423,0.000522
-111.504218,0.000522
-111.502013,0.000522
-111.499808,0.000522
-111.497603,0.000523
-111.495398,0.000523
-111.493193,0.000523
-111.490988,0.000523
-111.488783,0.000523
-111.486578,0.000523
-111.484373,0.000523
-111.482168,0.000523
-111.479963,0.000523
-111.477758,0.000523
-111.475553,0.000524
-111.473348,0.000524
-111.471143,0.000524
-111.468939,0.000524
-111.466734,0.000524
-111.464529,0.000524
-111.462324,0.000524
-111.460119,0.000524
-111.457914,0.000524
-111.455709,0.000524
-111.453504,0.000525
-111.451299,0.000525
-111.449094,0.000525
-111.446889,0.000525
-111.444684,0.000525
-111.442479,0.000525
-111.440274,0.000525
-111.438069,0.000525
-111.435864,0.000525
-111.433659,0.000525
-111.431454,0.000526
-111.429250,0.000526
-111.427045,0.000526
-111.424840,0.000526
-111.422635,0.000526
-111.420430,0.000526
-111.418225,0.000526
-111.416020,0.000526
-111.413815,0.000526
-111.411610,0.000527
-111.409405,0.000527
-111.407200,0.000527
-111.404995,0.000527
-111.402790,0.000527
-111.400585,0.000527
-111.398380,0.000527
-111.396175,0.000527
-111.393970,0.000527
-111.391765,0.000527
-111.389561,0.000528
-111.387356,0.000528
-111.385151,0.000528
-111.382946,0.000528
-111.380741,0.000528
-111.378536,0.000528
-111.376331,0.000528
-111.374126,0.000528
-111.371921,0.000528
-111.369716,0.000528
-111.367511,0.000529
-111.365306,0.000529
-111.363101,0.000529
-111.360896,0.000529
-111.358691,0.000529
-111.356486,0.000529
-111.354281,0.000529
-111.352076,0.000529
-111.349871,0.000529
-111.347667,0.000530
-111.345462,0.000530
-111.343257,0.000530
-111.341052,0.000530
-111.338847,0.000530
-111.336642,0.000530
-111.334437,0.000530
-111.332232,0.000530
-111.330027,0.000530
-111.327822,0.000530
-111.325617,0.000531
-111.323412,0.000531
-111.321207,0.000531
-111.319002,0.000531
-111.316797,0.000531
-111.314592,0.000531
-111.312387,0.000531
-111.310182,0.000531
-111.307978,0.000531
-111.305773,0.000532
-111.303568,0.000532
-111.301363,0.000532
-111.299158,0.000532
-111.296953,0.000532
-111.294748,0.000532
-111.292543,0.000532
-111.290338,0.000532
-111.288133,0.000532
-111.285928,0.000532
-111.283723,0.000533
-111.281518,0.000533
-111.279313,0.000533
-111.277108,0.000533
-111.274903,0.000533
-111.272698,0.000533
-111.270493,0.000533
-111.268289,0.000533
-111.266084,0.000533
-111.263879,0.000534
-111.261674,0.000534
-111.259469,0.000534
-111.257264,0.000534
-111.255059,0.000534
-111.252854,0.000534
-111.250649,0.000534
-111.248444,0.000534
-111.246239,0.000534
-111.244034,0.000534
-111.241829,0.000535
-111.239624,0.000535
-111.237419,0.000535
-111.235214,0.000535
-111.233009,0.000535
