#temperature 238.15
#magnetic_field 9.4
#isotope 1H
assignment,shift,width,area
tpy1, 186.118,1,1
tphz1,124.5456,1,1
tpy5, 95.5399,1,1
tpy4, 94.4176,1,1
tpy2, 57.2816,1,1
tphz2,53.8687,1,1
tpy6, 20.0652,1,1
tpy3, 16.0336,1,1
tphz3,13.1364,1,1
