# This file was generated with simple_pnmr v0.0.0 at 14:39:35 21-08-2024 
# Shifts are averaged by chem_label

atom_label (),chem_label (),x (Å),y (Å),z (Å),Aiso (ppm Å^-3),Adip_xx (ppm Å^-3),Adip_xy (ppm Å^-3),Adip_xz (ppm Å^-3),Adip_yy (ppm Å^-3),Adip_yz (ppm Å^-3),Adip_zz (ppm Å^-3),δ_total (ppm),δ_dia (ppm),δ_fc (ppm),δ_pc (ppm),linewidth (Hz)
C2,C2,4.09013,10.18255,6.62366,925.76960,4188.64054,0.80038,-266.12541,-3673.86462,0.00000,-514.77592,0.00000,0.00000,0.00000,0.00000,1
C3,C3,3.76126,11.20636,6.74563,-109.51828,2464.22792,-0.80038,386.18199,-2670.59184,-0.40019,206.36391,0.00000,0.00000,0.00000,0.00000,1
C4,C4,1.57168,4.26304,7.65050,-37.21754,1045.29259,-2.00094,-1126.53087,-2612.43109,0.80038,1567.13851,0.00000,0.00000,0.00000,0.00000,1
C5,C5,1.07175,3.32719,7.85166,2225.71552,4.93566,0.00000,-274.12918,-983.93034,0.80038,978.99468,0.00000,0.00000,0.00000,0.00000,1
C6,C6,3.24793,1.80322,6.96498,2289.47891,711.13512,-0.40019,539.05403,-981.26241,-0.40019,270.12730,0.00000,0.00000,0.00000,0.00000,1
C7,C7,2.26092,1.59886,7.35306,-2962.72950,1531.65512,1816.45600,-1924.50691,980.99562,-751.15398,-2512.65074,0.00000,0.00000,0.00000,0.00000,1
C8,C8,5.72864,2.37081,5.98887,-1091.71446,360.56992,2.00094,1716.40885,-2218.64553,3.60170,1858.07561,0.00000,0.00000,0.00000,0.00000,1
C9,C9,6.70583,2.63469,5.60593,-2448.48717,-652.97438,1026.88391,-819.18604,3052.77194,-436.60575,-2399.79756,0.00000,0.00000,0.00000,0.00000,1
C10,C10,0.93079,5.46805,7.90811,-2056.03556,1467.35815,-1570.34001,-1808.85241,949.91431,608.28665,-2417.27246,0.00000,0.00000,0.00000,0.00000,1
C11,C11,-0.07330,5.46771,8.31155,-119.38960,338.29275,0.00000,316.14898,-1043.55844,-0.80038,705.26569,0.00000,0.00000,0.00000,0.00000,1
