chem_label, shift, weight
C1,125.7,1
C2,127.0,1
C3,145.0,1
C4,119.1,1
C5,133.5,1
C6,156.6,1
C7,39.4,1
C8,32.8,1
C9,30.3,1
C10,45.6,1
C11,30.1
H2,7.5,1
H4,8.3,1
H8,1.5,1
H9,3.75,1
H11,1.5,1
H12,9,1
