# This file was generated with SimpNMR v1.6.0 at 10:40:07 16-03-2026 
# # Optimal Assignment (Hungarian)
# r2 = 0.496743
# T = 257.27 K
assignment (),shift (ppm),width (Hz),area (),L/G ()
C2_up,120.460000,166.450000,7.280000,1.000000
C6,144.370000,16.200000,1.240000,1.000000
C7,147.790000,35.150000,1.600000,1.000000
C5,152.390000,23.700000,2.330000,1.000000
C4,189.630000,162.950000,3.360000,1.000000
C2_down,463.020000,266.450000,15.850000,1.000000
C1,875.330000,113.240000,1.000000,1.000000
C3,1154.780000,568.390000,6.620000,1.000000
