# This file was generated with SimpNMR v1.6.0 at 10:40:14 16-03-2026 
# # Optimal Assignment (Hungarian)
# r2 = 0.502423
# T = 302.17 K
assignment (),shift (ppm),width (Hz),area (),L/G ()
C2_up,102.650000,206.670000,7.480000,1.000000
C6,140.480000,13.690000,1.000000,1.000000
C7,144.220000,38.280000,1.770000,1.000000
C5,147.840000,17.220000,1.820000,1.000000
C4,178.700000,40.600000,1.580000,1.000000
C2_down,389.210000,146.890000,6.440000,1.000000
C1,742.990000,327.080000,6.980000,1.000000
C3,984.300000,358.710000,5.850000,1.000000
