# This file was generated with SimpNMR v1.6.0 at 10:40:12 16-03-2026 
# # Optimal Assignment (Hungarian)
# r2 = 0.501428
# T = 292.28 K
assignment (),shift (ppm),width (Hz),area (),L/G ()
C2_up,105.930000,173.960000,5.940000,1.000000
C6,141.110000,14.840000,1.000000,1.000000
C7,144.850000,21.600000,1.280000,1.000000
C5,148.680000,13.240000,1.690000,1.000000
C4,180.920000,53.100000,1.910000,1.000000
C2_down,403.470000,168.780000,5.690000,1.000000
C1,769.070000,467.490000,5.350000,1.000000
C3,1017.690000,379.370000,4.730000,1.000000
