# This file was generated with SimpNMR v1.6.0 at 10:40:10 16-03-2026 
# # Optimal Assignment (Hungarian)
# r2 = 0.500002
# T = 282.30 K
assignment (),shift (ppm),width (Hz),area (),L/G ()
C2_up,109.910000,207.750000,5.950000,1.000000
C6,142.050000,19.350000,1.000000,1.000000
C7,145.770000,24.700000,1.720000,1.000000
C5,149.810000,24.940000,2.100000,1.000000
C4,183.000000,50.900000,1.880000,1.000000
C2_down,418.700000,185.030000,8.570000,1.000000
C1,796.930000,513.770000,5.640000,1.000000
C3,1053.060000,432.700000,5.120000,1.000000
