# This file was generated with SimpNMR v1.6.0 at 10:40:11 16-03-2026 
# # Optimal Assignment (Hungarian)
# r2 = 0.500812
# T = 287.30 K
assignment (),shift (ppm),width (Hz),area (),L/G ()
C2_up,107.770000,188.250000,9.240000,1.000000
C6,141.610000,17.440000,1.000000,1.000000
C7,145.360000,26.460000,1.600000,1.000000
C5,149.260000,20.290000,1.960000,1.000000
C4,181.970000,102.400000,3.130000,1.000000
C2_down,410.900000,191.690000,6.490000,1.000000
C1,782.900000,374.190000,7.140000,1.000000
C3,1035.110000,438.690000,6.050000,1.000000
