# This file was generated with SimpNMR v1.6.0 at 10:40:09 16-03-2026 
# # Optimal Assignment (Hungarian)
# r2 = 0.499122
# T = 277.29 K
assignment (),shift (ppm),width (Hz),area (),L/G ()
C2_up,111.870000,195.020000,5.800000,1.000000
C6,142.540000,21.000000,1.000000,1.000000
C7,146.250000,19.840000,1.520000,1.000000
C5,150.390000,54.630000,2.300000,1.000000
C4,184.490000,55.400000,1.810000,1.000000
C2_down,427.150000,186.530000,6.630000,1.000000
C1,811.520000,582.700000,7.110000,1.000000
C3,1071.640000,443.310000,6.460000,1.000000
