# This file was generated with SimpNMR v1.6.0 at 10:40:09 16-03-2026 
# # Optimal Assignment (Hungarian)
# r2 = 0.498969
# T = 272.25 K
assignment (),shift (ppm),width (Hz),area (),L/G ()
C2_up,113.570000,181.710000,7.880000,1.000000
C6,142.740000,15.560000,1.000000,1.000000
C7,146.400000,13.550000,1.760000,1.000000
C5,150.640000,34.560000,1.820000,1.000000
C4,185.660000,66.400000,1.800000,1.000000
C2_down,435.260000,204.830000,5.590000,1.000000
C1,826.900000,704.950000,8.190000,1.000000
C3,1091.070000,432.160000,7.390000,1.000000
