# This file was generated with SimpNMR v1.6.0 at 10:40:13 16-03-2026 
# # Optimal Assignment (Hungarian)
# r2 = 0.501892
# T = 297.22 K
assignment (),shift (ppm),width (Hz),area (),L/G ()
C2_up,104.280000,212.780000,6.730000,1.000000
C6,140.810000,18.950000,1.000000,1.000000
C7,144.550000,26.290000,1.270000,1.000000
C5,148.280000,22.500000,1.910000,1.000000
C4,179.740000,71.600000,1.800000,1.000000
C2_down,396.220000,159.620000,5.590000,1.000000
C1,756.000000,390.250000,5.410000,1.000000
C3,1000.560000,577.260000,8.880000,1.000000
