# This file was generated with SimpNMR v1.6.0 at 10:40:08 16-03-2026 
# # Optimal Assignment (Hungarian)
# r2 = 0.497757
# T = 267.28 K
assignment (),shift (ppm),width (Hz),area (),L/G ()
C2_up,116.120000,175.810000,6.010000,1.000000
C6,143.630000,22.180000,1.000000,1.000000
C7,147.220000,24.110000,1.580000,1.000000
C5,151.590000,23.530000,1.730000,1.000000
C4,187.460000,54.600000,1.620000,1.000000
C2_down,444.260000,222.780000,10.190000,1.000000
C1,841.880000,664.710000,5.250000,1.000000
C3,1111.880000,439.640000,6.300000,1.000000
