# This file was generated with SimpNMR v1.6.0 at 15:51:42 16-03-2026 
shift (ppm),intensity (a.u.)
-102.122819,0.000014
-102.111408,0.000014
-102.099996,0.000014
-102.088585,0.000014
-102.077173,0.000014
-102.065762,0.000014
-102.054350,0.000014
-102.042939,0.000014
-102.031527,0.000014
-102.020116,0.000014
-102.008704,0.000014
-101.997293,0.000014
-101.985881,0.000014
-101.974469,0.000014
-101.963058,0.000014
-101.951646,0.000014
-101.940235,0.000014
-101.928823,0.000014
-101.917412,0.000014
-101.906000,0.000014
-101.894589,0.000014
-101.883177,0.000014
-101.871766,0.000014
-101.860354,0.000014
-101.848943,0.000014
-101.837531,0.000014
-101.826120,0.000014
-101.814708,0.000014
-101.803297,0.000014
-101.791885,0.000014
-101.780473,0.000014
-101.769062,0.000014
-101.757650,0.000014
-101.746239,0.000014
-101.734827,0.000014
-101.723416,0.000014
-101.712004,0.000014
-101.700593,0.000014
-101.689181,0.000014
-101.677770,0.000014
-101.666358,0.000014
-101.654947,0.000014
-101.643535,0.000014
-101.632124,0.000014
-101.620712,0.000014
-101.609300,0.000014
-101.597889,0.000014
-101.586477,0.000014
-101.575066,0.000014
-101.563654,0.000014
-101.552243,0.000014
-101.540831,0.000014
-101.529420,0.000014
-101.518008,0.000014
-101.506597,0.000014
-101.495185,0.000014
-101.483774,0.000014
-101.472362,0.000014
-101.460951,0.000014
-101.449539,0.000014
-101.438128,0.000014
-101.426716,0.000014
-101.415304,0.000014
-101.403893,0.000014
-101.392481,0.000014
-101.381070,0.000014
-101.369658,0.000014
-101.358247,0.000014
-101.346835,0.000014
-101.335424,0.000014
-101.324012,0.000014
-101.312601,0.000014
-101.301189,0.000014
-101.289778,0.000014
-101.278366,0.000014
-101.266955,0.000014
-101.255543,0.000014
-101.244131,0.000014
-101.232720,0.000014
-101.221308,0.000014
-101.209897,0.000014
-101.198485,0.000014
-101.187074,0.000014
-101.175662,0.000014
-101.164251,0.000014
-101.152839,0.000014
-101.141428,0.000014
-101.130016,0.000014
-101.118605,0.000014
-101.107193,0.000014
-101.095782,0.000014
-101.084370,0.000014
-101.072959,0.000014
-101.061547,0.000014
-101.050135,0.000014
-101.038724,0.000014
-101.027312,0.000014
-101.015901,0.000014
-101.004489,0.000014
-100.993078,0.000014
-100.981666,0.000014
-100.970255,0.000014
-100.958843,0.000014
-100.947432,0.000014
-100.936020,0.000014
-100.924609,0.000014
-100.913197,0.000014
-100.901786,0.000014
-100.890374,0.000014
-100.878962,0.000014
-100.867551,0.000014
-100.856139,0.000014
-100.844728,0.000014
-100.833316,0.000014
-100.821905,0.000014
-100.810493,0.000014
-100.799082,0.000014
-100.787670,0.000014
-100.776259,0.000014
-100.764847,0.000014
-100.753436,0.000014
-100.742024,0.000014
-100.730613,0.000014
-100.719201,0.000014
-100.707790,0.000014
-100.696378,0.000014
-100.684966,0.000014
-100.673555,0.000014
-100.662143,0.000014
-100.650732,0.000014
-100.639320,0.000014
-100.627909,0.000014
-100.616497,0.000014
-100.605086,0.000014
-100.593674,0.000014
-100.582263,0.000014
-100.570851,0.000014
-100.559440,0.000014
-100.548028,0.000014
-100.536617,0.000014
-100.525205,0.000014
-100.513794,0.000014
-100.502382,0.000014
-100.490970,0.000014
-100.479559,0.000014
-100.468147,0.000014
-100.456736,0.000014
-100.445324,0.000014
-100.433913,0.000014
-100.422501,0.000014
-100.411090,0.000014
-100.399678,0.000014
-100.388267,0.000014
-100.376855,0.000014
-100.365444,0.000014
-100.354032,0.000014
-100.342621,0.000014
-100.331209,0.000014
-100.319797,0.000014
-100.308386,0.000014
-100.296974,0.000014
-100.285563,0.000014
-100.274151,0.000014
-100.262740,0.000014
-100.251328,0.000014
-100.239917,0.000014
-100.228505,0.000014
-100.217094,0.000014
-100.205682,0.000014
-100.194271,0.000014
-100.182859,0.000014
-100.171448,0.000014
-100.160036,0.000014
-100.148625,0.000014
-100.137213,0.000014
-100.125801,0.000014
-100.114390,0.000014
-100.102978,0.000014
-100.091567,0.000014
-100.080155,0.000014
-100.068744,0.000014
-100.057332,0.000014
-100.045921,0.000014
-100.034509,0.000014
-100.023098,0.000014
-100.011686,0.000014
-100.000275,0.000014
-99.988863,0.000014
-99.977452,0.000014
-99.966040,0.000014
-99.954628,0.000014
-99.943217,0.000014
-99.931805,0.000014
-99.920394,0.000014
-99.908982,0.000014
-99.897571,0.000014
-99.886159,0.000014
-99.874748,0.000014
-99.863336,0.000014
-99.851925,0.000014
-99.840513,0.000014
-99.829102,0.000014
-99.817690,0.000014
-99.806279,0.000014
-99.794867,0.000014
-99.783456,0.000014
-99.772044,0.000014
-99.760632,0.000014
-99.749221,0.000014
-99.737809,0.000014
-99.726398,0.000014
-99.714986,0.000014
-99.703575,0.000014
-99.692163,0.000014
-99.680752,0.000014
-99.669340,0.000014
-99.657929,0.000014
-99.646517,0.000014
-99.635106,0.000014
-99.623694,0.000014
-99.612283,0.000014
-99.600871,0.000014
-99.589459,0.000014
-99.578048,0.000014
-99.566636,0.000014
-99.555225,0.000014
-99.543813,0.000014
-99.532402,0.000014
-99.520990,0.000014
-99.509579,0.000014
-99.498167,0.000014
-99.486756,0.000014
-99.475344,0.000014
-99.463933,0.000014
-99.452521,0.000014
-99.441110,0.000014
-99.429698,0.000014
-99.418287,0.000014
-99.406875,0.000014
-99.395463,0.000014
-99.384052,0.000014
-99.372640,0.000014
-99.361229,0.000014
-99.349817,0.000014
-99.338406,0.000014
-99.326994,0.000014
-99.315583,0.000014
-99.304171,0.000014
-99.292760,0.000014
-99.281348,0.000014
-99.269937,0.000014
-99.258525,0.000014
-99.247114,0.000014
-99.235702,0.000014
-99.224290,0.000014
-99.212879,0.000014
-99.201467,0.000014
-99.190056,0.000014
-99.178644,0.000014
-99.167233,0.000014
-99.155821,0.000014
-99.144410,0.000014
-99.132998,0.000014
-99.121587,0.000014
-99.110175,0.000014
-99.098764,0.000014
-99.087352,0.000014
-99.075941,0.000014
-99.064529,0.000014
-99.053118,0.000014
-99.041706,0.000014
-99.030294,0.000014
-99.018883,0.000014
-99.007471,0.000014
-98.996060,0.000014
-98.984648,0.000014
-98.973237,0.000014
-98.961825,0.000014
-98.950414,0.000014
-98.939002,0.000014
-98.927591,0.000014
-98.916179,0.000014
-98.904768,0.000014
-98.893356,0.000014
-98.881945,0.000014
-98.870533,0.000014
-98.859122,0.000014
-98.847710,0.000014
-98.836298,0.000014
-98.824887,0.000014
-98.813475,0.000014
-98.802064,0.000014
-98.790652,0.000014
-98.779241,0.000014
-98.767829,0.000014
-98.756418,0.000014
-98.745006,0.000014
-98.733595,0.000014
-98.722183,0.000014
-98.710772,0.000014
-98.699360,0.000014
-98.687949,0.000014
-98.676537,0.000014
-98.665125,0.000014
-98.653714,0.000014
-98.642302,0.000014
-98.630891,0.000014
-98.619479,0.000014
-98.608068,0.000014
-98.596656,0.000014
-98.585245,0.000014
-98.573833,0.000014
-98.562422,0.000014
-98.551010,0.000014
-98.539599,0.000014
-98.528187,0.000014
-98.516776,0.000014
-98.505364,0.000014
-98.493953,0.000014
-98.482541,0.000014
-98.471129,0.000014
-98.459718,0.000014
-98.448306,0.000014
-98.436895,0.000014
-98.425483,0.000014
-98.414072,0.000014
-98.402660,0.000014
-98.391249,0.000014
-98.379837,0.000014
-98.368426,0.000014
-98.357014,0.000014
-98.345603,0.000014
-98.334191,0.000014
-98.322780,0.000014
-98.311368,0.000014
-98.299956,0.000014
-98.288545,0.000014
-98.277133,0.000014
-98.265722,0.000014
-98.254310,0.000014
-98.242899,0.000014
-98.231487,0.000014
-98.220076,0.000014
-98.208664,0.000014
-98.197253,0.000014
-98.185841,0.000014
-98.174430,0.000014
-98.163018,0.000014
-98.151607,0.000014
-98.140195,0.000014
-98.128784,0.000014
-98.117372,0.000014
-98.105960,0.000014
-98.094549,0.000014
-98.083137,0.000014
-98.071726,0.000014
-98.060314,0.000014
-98.048903,0.000014
-98.037491,0.000014
-98.026080,0.000014
-98.014668,0.000014
-98.003257,0.000014
-97.991845,0.000014
-97.980434,0.000014
-97.969022,0.000014
-97.957611,0.000014
-97.946199,0.000014
-97.934787,0.000014
-97.923376,0.000014
-97.911964,0.000014
-97.900553,0.000014
-97.889141,0.000014
-97.877730,0.000014
-97.866318,0.000014
-97.854907,0.000014
-97.843495,0.000014
-97.832084,0.000014
-97.820672,0.000014
-97.809261,0.000014
-97.797849,0.000014
-97.786438,0.000014
-97.775026,0.000014
-97.763615,0.000014
-97.752203,0.000014
-97.740791,0.000014
-97.729380,0.000014
-97.717968,0.000014
-97.706557,0.000014
-97.695145,0.000014
-97.683734,0.000014
-97.672322,0.000014
-97.660911,0.000014
-97.649499,0.000014
-97.638088,0.000014
-97.626676,0.000014
-97.615265,0.000014
-97.603853,0.000014
-97.592442,0.000014
-97.581030,0.000014
-97.569619,0.000014
-97.558207,0.000014
-97.546795,0.000014
-97.535384,0.000014
-97.523972,0.000014
-97.512561,0.000014
-97.501149,0.000014
-97.489738,0.000014
-97.478326,0.000014
-97.466915,0.000014
-97.455503,0.000014
-97.444092,0.000014
-97.432680,0.000014
-97.421269,0.000014
-97.409857,0.000014
-97.398446,0.000014
-97.387034,0.000014
-97.375622,0.000014
-97.364211,0.000014
-97.352799,0.000014
-97.341388,0.000014
-97.329976,0.000014
-97.318565,0.000014
-97.307153,0.000014
-97.295742,0.000014
-97.284330,0.000014
-97.272919,0.000014
-97.261507,0.000014
-97.250096,0.000014
-97.238684,0.000014
-97.227273,0.000014
-97.215861,0.000014
-97.204450,0.000014
-97.193038,0.000014
-97.181626,0.000014
-97.170215,0.000014
-97.158803,0.000014
-97.147392,0.000014
-97.135980,0.000014
-97.124569,0.000014
-97.113157,0.000014
-97.101746,0.000014
-97.090334,0.000014
-97.078923,0.000014
-97.067511,0.000014
-97.056100,0.000014
-97.044688,0.000014
-97.033277,0.000014
-97.021865,0.000014
-97.010453,0.000014
-96.999042,0.000014
-96.987630,0.000014
-96.976219,0.000014
-96.964807,0.000014
-96.953396,0.000014
-96.941984,0.000014
-96.930573,0.000014
-96.919161,0.000014
-96.907750,0.000014
-96.896338,0.000014
-96.884927,0.000014
-96.873515,0.000014
-96.862104,0.000014
-96.850692,0.000014
-96.839281,0.000014
-96.827869,0.000014
-96.816457,0.000014
-96.805046,0.000014
-96.793634,0.000014
-96.782223,0.000014
-96.770811,0.000014
-96.759400,0.000014
-96.747988,0.000014
-96.736577,0.000014
-96.725165,0.000014
-96.713754,0.000014
-96.702342,0.000014
-96.690931,0.000014
-96.679519,0.000014
-96.668108,0.000014
-96.656696,0.000014
-96.645284,0.000014
-96.633873,0.000014
-96.622461,0.000014
-96.611050,0.000014
-96.599638,0.000014
-96.588227,0.000014
-96.576815,0.000014
-96.565404,0.000014
-96.553992,0.000014
-96.542581,0.000014
-96.531169,0.000014
-96.519758,0.000014
-96.508346,0.000014
-96.496935,0.000014
-96.485523,0.000014
-96.474112,0.000014
-96.462700,0.000014
-96.451288,0.000014
-96.439877,0.000014
-96.428465,0.000014
-96.417054,0.000014
-96.405642,0.000014
-96.394231,0.000014
-96.382819,0.000014
-96.371408,0.000014
-96.359996,0.000014
-96.348585,0.000014
-96.337173,0.000014
-96.325762,0.000014
-96.314350,0.000014
-96.302939,0.000014
-96.291527,0.000014
-96.280115,0.000014
-96.268704,0.000014
-96.257292,0.000014
-96.245881,0.000014
-96.234469,0.000014
-96.223058,0.000014
-96.211646,0.000014
-96.200235,0.000014
-96.188823,0.000014
-96.177412,0.000014
-96.166000,0.000014
-96.154589,0.000014
-96.143177,0.000014
-96.131766,0.000014
-96.120354,0.000014
-96.108943,0.000014
-96.097531,0.000014
-96.086119,0.000014
-96.074708,0.000014
-96.063296,0.000014
-96.051885,0.000014
-96.040473,0.000014
-96.029062,0.000014
-96.017650,0.000014
-96.006239,0.000014
-95.994827,0.000014
-95.983416,0.000014
-95.972004,0.000014
-95.960593,0.000014
-95.949181,0.000014
-95.937770,0.000014
-95.926358,0.000014
-95.914947,0.000014
-95.903535,0.000014
-95.892123,0.000014
-95.880712,0.000014
-95.869300,0.000014
-95.857889,0.000014
-95.846477,0.000014
-95.835066,0.000014
-95.823654,0.000014
-95.812243,0.000014
-95.800831,0.000014
-95.789420,0.000014
-95.778008,0.000014
-95.766597,0.000014
-95.755185,0.000014
-95.743774,0.000014
-95.732362,0.000014
-95.720950,0.000014
-95.709539,0.000014
-95.698127,0.000014
-95.686716,0.000014
-95.675304,0.000014
-95.663893,0.000014
-95.652481,0.000014
-95.641070,0.000014
-95.629658,0.000014
-95.618247,0.000014
-95.606835,0.000014
-95.595424,0.000014
-95.584012,0.000014
-95.572601,0.000014
-95.561189,0.000014
-95.549778,0.000014
-95.538366,0.000014
-95.526954,0.000014
-95.515543,0.000014
-95.504131,0.000014
-95.492720,0.000014
-95.481308,0.000015
-95.469897,0.000015
-95.458485,0.000015
-95.447074,0.000015
-95.435662,0.000015
-95.424251,0.000015
-95.412839,0.000015
-95.401428,0.000015
-95.390016,0.000015
-95.378605,0.000015
-95.367193,0.000015
-95.355781,0.000015
-95.344370,0.000015
-95.332958,0.000015
-95.321547,0.000015
-95.310135,0.000015
-95.298724,0.000015
-95.287312,0.000015
-95.275901,0.000015
-95.264489,0.000015
-95.253078,0.000015
-95.241666,0.000015
-95.230255,0.000015
-95.218843,0.000015
-95.207432,0.000015
-95.196020,0.000015
-95.184609,0.000015
-95.173197,0.000015
-95.161785,0.000015
-95.150374,0.000015
-95.138962,0.000015
-95.127551,0.000015
-95.116139,0.000015
-95.104728,0.000015
-95.093316,0.000015
-95.081905,0.000015
-95.070493,0.000015
-95.059082,0.000015
-95.047670,0.000015
-95.036259,0.000015
-95.024847,0.000015
-95.013436,0.000015
-95.002024,0.000015
-94.990612,0.000015
-94.979201,0.000015
-94.967789,0.000015
-94.956378,0.000015
-94.944966,0.000015
-94.933555,0.000015
-94.922143,0.000015
-94.910732,0.000015
-94.899320,0.000015
-94.887909,0.000015
-94.876497,0.000015
-94.865086,0.000015
-94.853674,0.000015
-94.842263,0.000015
-94.830851,0.000015
-94.819440,0.000015
-94.808028,0.000015
-94.796616,0.000015
-94.785205,0.000015
-94.773793,0.000015
-94.762382,0.000015
-94.750970,0.000015
-94.739559,0.000015
-94.728147,0.000015
-94.716736,0.000015
-94.705324,0.000015
-94.693913,0.000015
-94.682501,0.000015
-94.671090,0.000015
-94.659678,0.000015
-94.648267,0.000015
-94.636855,0.000015
-94.625443,0.000015
-94.614032,0.000015
-94.602620,0.000015
-94.591209,0.000015
-94.579797,0.000015
-94.568386,0.000015
-94.556974,0.000015
-94.545563,0.000015
-94.534151,0.000015
-94.522740,0.000015
-94.511328,0.000015
-94.499917,0.000015
-94.488505,0.000015
-94.477094,0.000015
-94.465682,0.000015
-94.454271,0.000015
-94.442859,0.000015
-94.431447,0.000015
-94.420036,0.000015
-94.408624,0.000015
-94.397213,0.000015
-94.385801,0.000015
-94.374390,0.000015
-94.362978,0.000015
-94.351567,0.000015
-94.340155,0.000015
-94.328744,0.000015
-94.317332,0.000015
-94.305921,0.000015
-94.294509,0.000015
-94.283098,0.000015
-94.271686,0.000015
-94.260275,0.000015
-94.248863,0.000015
-94.237451,0.000015
-94.226040,0.000015
-94.214628,0.000015
-94.203217,0.000015
-94.191805,0.000015
-94.180394,0.000015
-94.168982,0.000015
-94.157571,0.000015
-94.146159,0.000015
-94.134748,0.000015
-94.123336,0.000015
-94.111925,0.000015
-94.100513,0.000015
-94.089102,0.000015
-94.077690,0.000015
-94.066278,0.000015
-94.054867,0.000015
-94.043455,0.000015
-94.032044,0.000015
-94.020632,0.000015
-94.009221,0.000015
-93.997809,0.000015
-93.986398,0.000015
-93.974986,0.000015
-93.963575,0.000015
-93.952163,0.000015
-93.940752,0.000015
-93.929340,0.000015
