# This file was generated with SimpNMR v1.6.0 at 10:40:05 16-03-2026 
# # Optimal Assignment (Hungarian)
# r2 = 0.494386
# T = 247.25 K
assignment (),shift (ppm),width (Hz),area (),L/G ()
C2_up,126.160000,167.980000,22.970000,1.000000
C6,146.380000,22.210000,5.290000,1.000000
C7,149.540000,21.060000,8.480000,1.000000
C5,154.410000,73.570000,13.830000,1.000000
C4,193.710000,149.550000,13.390000,1.000000
C2_down,483.660000,325.130000,75.840000,1.000000
C1,913.240000,38.090000,1.000000,1.000000
C3,1201.490000,619.890000,42.030000,1.000000
