# This file was generated with SimpNMR v1.6.0 at 10:40:07 16-03-2026 
# # Optimal Assignment (Hungarian)
# r2 = 0.496946
# T = 262.29 K
assignment (),shift (ppm),width (Hz),area (),L/G ()
C2_up,118.430000,251.870000,4.400000,1.000000
C6,144.220000,23.850000,1.000000,1.000000
C7,147.760000,26.340000,1.440000,1.000000
C5,152.230000,22.920000,1.640000,1.000000
C4,188.530000,65.000000,1.700000,1.000000
C2_down,453.510000,203.810000,9.970000,1.000000
C1,858.340000,230.180000,1.320000,1.000000
C3,1132.510000,578.880000,5.130000,1.000000
