1247.034843	0.058087
1247.027268	-0.202318
1247.019693	-0.462723
1247.012118	-0.512759
1247.004544	-0.251137
1246.996969	0.353311
1246.989394	1.144752
1246.981819	1.850487
1246.974245	2.556223
1246.966670	3.082754
1246.959095	3.609287
1246.951520	4.135818
1246.943945	4.662350
1246.936371	5.270693
1246.928796	5.879034
1246.921221	6.300383
1246.913646	6.721729
1246.906071	6.796600
1246.898497	6.871471
1246.890922	6.572353
1246.883347	6.273233
1246.875772	5.736475
1246.868198	5.199717
1246.860623	4.662960
1246.853048	4.126202
1246.845473	3.811499
1246.837898	3.496798
1246.830324	3.182096
1246.822749	2.867393
1246.815174	2.864349
1246.807599	2.861307
1246.800024	2.858263
1246.792450	2.855219
1246.784875	2.581423
1246.777300	2.307627
1246.769725	2.033831
1246.762151	1.760033
1246.754576	1.497924
1246.747001	1.235814
1246.739426	0.973704
1246.731851	0.711596
1246.724277	0.772831
1246.716702	0.834067
1246.709127	1.082298
1246.701552	1.330529
1246.693977	1.496950
1246.686403	1.663370
1246.678828	1.455801
1246.671253	1.248232
1246.663678	0.997079
1246.656104	0.745927
1246.648529	0.494774
1246.640954	0.243621
1246.633379	0.156089
1246.625804	0.068557
1246.618230	-0.018975
1246.610655	-0.106507
1246.603080	0.035809
1246.595505	0.178124
1246.587930	0.320440
1246.580356	0.462756
1246.572781	0.605072
1246.565206	0.747387
1246.557631	0.889703
1246.550057	1.032019
1246.542482	1.345594
1246.534907	1.659170
1246.527332	1.972746
1246.519757	2.286322
1246.512183	2.775206
1246.504608	3.264088
1246.497033	3.464687
1246.489458	3.478292
1246.481883	3.203613
1246.474309	2.617275
1246.466734	1.925755
1246.459159	1.047236
1246.451584	0.242739
1246.444010	-0.561760
1246.436435	-1.003956
1246.428860	-1.446151
1246.421285	-1.384093
1246.413710	-1.322036
1246.406136	-1.072983
1246.398561	-0.823930
1246.390986	-0.656688
1246.383411	-0.489446
1246.375836	-0.322203
1246.368262	-0.154961
1246.360687	-0.346126
1246.353112	-0.537290
1246.345537	-0.728455
1246.337963	-0.919619
1246.330388	-0.799126
1246.322813	-0.678632
1246.315238	-0.558138
1246.307663	-0.437644
1246.300089	-0.358726
1246.292514	-0.279806
1246.284939	-0.200888
1246.277364	-0.121968
1246.269789	-0.709219
1246.262215	-1.296470
1246.254640	-2.059028
1246.247065	-2.821587
1246.239490	-3.432211
1246.231916	-3.855842
1246.224341	-3.936647
1246.216766	-3.705795
1246.209191	-3.315218
1246.201616	-2.924641
1246.194042	-2.514585
