# This file was generated with ParaNMR v1.14.0 at 14:28:03 20-07-2026 
shift (ppm),intensity (a.u.)
-94.307952,0.000143
-94.305934,0.000143
-94.303915,0.000143
-94.301897,0.000143
-94.299879,0.000143
-94.297861,0.000143
-94.295843,0.000143
-94.293824,0.000143
-94.291806,0.000143
-94.289788,0.000143
-94.287770,0.000143
-94.285752,0.000143
-94.283734,0.000143
-94.281715,0.000143
-94.279697,0.000143
-94.277679,0.000143
-94.275661,0.000143
-94.273643,0.000143
-94.271624,0.000143
-94.269606,0.000143
-94.267588,0.000143
-94.265570,0.000143
-94.263552,0.000143
-94.261533,0.000143
-94.259515,0.000143
-94.257497,0.000143
-94.255479,0.000143
-94.253461,0.000143
-94.251443,0.000144
-94.249424,0.000144
-94.247406,0.000144
-94.245388,0.000144
-94.243370,0.000144
-94.241352,0.000144
-94.239333,0.000144
-94.237315,0.000144
-94.235297,0.000144
-94.233279,0.000144
-94.231261,0.000144
-94.229242,0.000144
-94.227224,0.000144
-94.225206,0.000144
-94.223188,0.000144
-94.221170,0.000144
-94.219152,0.000144
-94.217133,0.000144
-94.215115,0.000144
-94.213097,0.000144
-94.211079,0.000144
-94.209061,0.000144
-94.207042,0.000144
-94.205024,0.000144
-94.203006,0.000144
-94.200988,0.000144
-94.198970,0.000144
-94.196951,0.000144
-94.194933,0.000144
-94.192915,0.000144
-94.190897,0.000144
-94.188879,0.000144
-94.186861,0.000144
-94.184842,0.000144
-94.182824,0.000144
-94.180806,0.000144
-94.178788,0.000144
-94.176770,0.000144
-94.174751,0.000144
-94.172733,0.000144
-94.170715,0.000144
-94.168697,0.000144
-94.166679,0.000145
-94.164660,0.000145
-94.162642,0.000145
-94.160624,0.000145
-94.158606,0.000145
-94.156588,0.000145
-94.154570,0.000145
-94.152551,0.000145
-94.150533,0.000145
-94.148515,0.000145
-94.146497,0.000145
-94.144479,0.000145
-94.142460,0.000145
-94.140442,0.000145
-94.138424,0.000145
-94.136406,0.000145
-94.134388,0.000145
-94.132369,0.000145
-94.130351,0.000145
-94.128333,0.000145
-94.126315,0.000145
-94.124297,0.000145
-94.122279,0.000145
-94.120260,0.000145
-94.118242,0.000145
-94.116224,0.000145
-94.114206,0.000145
-94.112188,0.000145
-94.110169,0.000145
-94.108151,0.000145
-94.106133,0.000145
-94.104115,0.000145
-94.102097,0.000145
-94.100078,0.000145
-94.098060,0.000145
-94.096042,0.000145
-94.094024,0.000145
-94.092006,0.000145
-94.089988,0.000145
-94.087969,0.000145
-94.085951,0.000145
-94.083933,0.000146
-94.081915,0.000146
-94.079897,0.000146
-94.077878,0.000146
-94.075860,0.000146
-94.073842,0.000146
-94.071824,0.000146
-94.069806,0.000146
-94.067787,0.000146
-94.065769,0.000146
-94.063751,0.000146
-94.061733,0.000146
-94.059715,0.000146
-94.057697,0.000146
-94.055678,0.000146
-94.053660,0.000146
-94.051642,0.000146
-94.049624,0.000146
-94.047606,0.000146
-94.045587,0.000146
-94.043569,0.000146
-94.041551,0.000146
-94.039533,0.000146
-94.037515,0.000146
-94.035496,0.000146
-94.033478,0.000146
-94.031460,0.000146
-94.029442,0.000146
-94.027424,0.000146
-94.025406,0.000146
-94.023387,0.000146
-94.021369,0.000146
-94.019351,0.000146
-94.017333,0.000146
-94.015315,0.000146
-94.013296,0.000146
-94.011278,0.000146
-94.009260,0.000146
-94.007242,0.000146
-94.005224,0.000146
-94.003205,0.000146
-94.001187,0.000147
-93.999169,0.000147
-93.997151,0.000147
-93.995133,0.000147
-93.993115,0.000147
-93.991096,0.000147
-93.989078,0.000147
-93.987060,0.000147
-93.985042,0.000147
-93.983024,0.000147
-93.981005,0.000147
-93.978987,0.000147
-93.976969,0.000147
-93.974951,0.000147
-93.972933,0.000147
-93.970914,0.000147
-93.968896,0.000147
-93.966878,0.000147
-93.964860,0.000147
-93.962842,0.000147
-93.960824,0.000147
-93.958805,0.000147
-93.956787,0.000147
-93.954769,0.000147
-93.952751,0.000147
-93.950733,0.000147
-93.948714,0.000147
-93.946696,0.000147
-93.944678,0.000147
-93.942660,0.000147
-93.940642,0.000147
-93.938623,0.000147
-93.936605,0.000147
-93.934587,0.000147
-93.932569,0.000147
-93.930551,0.000147
-93.928533,0.000147
-93.926514,0.000147
-93.924496,0.000147
-93.922478,0.000147
-93.920460,0.000147
-93.918442,0.000148
-93.916423,0.000148
-93.914405,0.000148
-93.912387,0.000148
-93.910369,0.000148
-93.908351,0.000148
-93.906332,0.000148
-93.904314,0.000148
-93.902296,0.000148
-93.900278,0.000148
-93.898260,0.000148
-93.896242,0.000148
-93.894223,0.000148
-93.892205,0.000148
-93.890187,0.000148
-93.888169,0.000148
-93.886151,0.000148
-93.884132,0.000148
-93.882114,0.000148
-93.880096,0.000148
-93.878078,0.000148
-93.876060,0.000148
-93.874041,0.000148
-93.872023,0.000148
-93.870005,0.000148
-93.867987,0.000148
-93.865969,0.000148
-93.863951,0.000148
-93.861932,0.000148
-93.859914,0.000148
-93.857896,0.000148
-93.855878,0.000148
-93.853860,0.000148
-93.851841,0.000148
-93.849823,0.000148
-93.847805,0.000148
-93.845787,0.000148
-93.843769,0.000148
-93.841750,0.000148
-93.839732,0.000149
-93.837714,0.000149
-93.835696,0.000149
-93.833678,0.000149
-93.831660,0.000149
-93.829641,0.000149
-93.827623,0.000149
-93.825605,0.000149
-93.823587,0.000149
-93.821569,0.000149
-93.819550,0.000149
-93.817532,0.000149
-93.815514,0.000149
-93.813496,0.000149
-93.811478,0.000149
-93.809459,0.000149
-93.807441,0.000149
-93.805423,0.000149
-93.803405,0.000149
-93.801387,0.000149
-93.799369,0.000149
-93.797350,0.000149
-93.795332,0.000149
-93.793314,0.000149
-93.791296,0.000149
-93.789278,0.000149
-93.787259,0.000149
-93.785241,0.000149
-93.783223,0.000149
-93.781205,0.000149
-93.779187,0.000149
-93.777168,0.000149
-93.775150,0.000149
-93.773132,0.000149
-93.771114,0.000149
-93.769096,0.000149
-93.767078,0.000149
-93.765059,0.000149
-93.763041,0.000149
-93.761023,0.000149
-93.759005,0.000150
-93.756987,0.000150
-93.754968,0.000150
-93.752950,0.000150
-93.750932,0.000150
-93.748914,0.000150
-93.746896,0.000150
-93.744877,0.000150
-93.742859,0.000150
-93.740841,0.000150
-93.738823,0.000150
-93.736805,0.000150
-93.734787,0.000150
-93.732768,0.000150
-93.730750,0.000150
-93.728732,0.000150
-93.726714,0.000150
-93.724696,0.000150
-93.722677,0.000150
-93.720659,0.000150
-93.718641,0.000150
-93.716623,0.000150
-93.714605,0.000150
-93.712586,0.000150
-93.710568,0.000150
-93.708550,0.000150
-93.706532,0.000150
-93.704514,0.000150
-93.702496,0.000150
-93.700477,0.000150
-93.698459,0.000150
-93.696441,0.000150
-93.694423,0.000150
-93.692405,0.000150
-93.690386,0.000150
-93.688368,0.000150
-93.686350,0.000150
-93.684332,0.000150
-93.682314,0.000150
-93.680296,0.000151
-93.678277,0.000151
-93.676259,0.000151
-93.674241,0.000151
-93.672223,0.000151
-93.670205,0.000151
-93.668186,0.000151
-93.666168,0.000151
-93.664150,0.000151
-93.662132,0.000151
-93.660114,0.000151
-93.658095,0.000151
-93.656077,0.000151
-93.654059,0.000151
-93.652041,0.000151
-93.650023,0.000151
-93.648005,0.000151
-93.645986,0.000151
