# This file was generated with ParaNMR v1.15.0 at 19:22:53 23-07-2026 
# T = 302.15 K
# method = monte_carlo
# n_samples = 500
# random_seed = 12345
# shift_sigma_abs = 0.02
# width_sigma_rel = 0.05
quantity,m1,m2,m3,m4,m5,m6
m1,0.000044,-0.000468,-0.010562,-7.574307,-61.530366,-90946.488297
m2,-0.000468,0.378483,-5.650275,4774.761382,-88923.618999,55990217.591643
m3,-0.010562,-5.650275,3069.717573,-98427.306691,45557312.950397,-1541865357.776007
m4,-7.574307,4774.761382,-98427.306691,77135617.386686,-1970067710.969348,955411207669.063599
m5,-61.530366,-88923.618999,45557312.950397,-1970067710.969348,703855352992.333984,-30106757014222.980469
m6,-90946.488297,55990217.591643,-1541865357.776007,955411207669.063599,-30106757014222.980469,12008468866062630.000000
