# This file was generated with SimpNMR v1.6.0 at 15:51:36 16-03-2026 
shift (ppm),intensity (a.u.)
-114.133504,0.000681
-114.131258,0.000681
-114.129011,0.000681
-114.126765,0.000682
-114.124519,0.000682
-114.122272,0.000682
-114.120026,0.000682
-114.117780,0.000682
-114.115533,0.000682
-114.113287,0.000682
-114.111041,0.000682
-114.108794,0.000683
-114.106548,0.000683
-114.104302,0.000683
-114.102055,0.000683
-114.099809,0.000683
-114.097563,0.000683
-114.095316,0.000683
-114.093070,0.000684
-114.090824,0.000684
-114.088577,0.000684
-114.086331,0.000684
-114.084085,0.000684
-114.081838,0.000684
-114.079592,0.000684
-114.077346,0.000685
-114.075099,0.000685
-114.072853,0.000685
-114.070607,0.000685
-114.068360,0.000685
-114.066114,0.000685
-114.063868,0.000685
-114.061621,0.000685
-114.059375,0.000686
-114.057129,0.000686
-114.054882,0.000686
-114.052636,0.000686
-114.050390,0.000686
-114.048143,0.000686
-114.045897,0.000686
-114.043651,0.000687
-114.041404,0.000687
-114.039158,0.000687
-114.036912,0.000687
-114.034665,0.000687
-114.032419,0.000687
-114.030173,0.000687
-114.027926,0.000687
-114.025680,0.000688
-114.023433,0.000688
-114.021187,0.000688
-114.018941,0.000688
-114.016694,0.000688
-114.014448,0.000688
-114.012202,0.000688
-114.009955,0.000689
-114.007709,0.000689
-114.005463,0.000689
-114.003216,0.000689
-114.000970,0.000689
-113.998724,0.000689
-113.996477,0.000689
-113.994231,0.000690
-113.991985,0.000690
-113.989738,0.000690
-113.987492,0.000690
-113.985246,0.000690
-113.982999,0.000690
-113.980753,0.000690
-113.978507,0.000691
-113.976260,0.000691
-113.974014,0.000691
-113.971768,0.000691
-113.969521,0.000691
-113.967275,0.000691
-113.965029,0.000691
-113.962782,0.000691
-113.960536,0.000692
-113.958290,0.000692
-113.956043,0.000692
-113.953797,0.000692
-113.951551,0.000692
-113.949304,0.000692
-113.947058,0.000692
-113.944812,0.000693
-113.942565,0.000693
-113.940319,0.000693
-113.938073,0.000693
-113.935826,0.000693
-113.933580,0.000693
-113.931334,0.000693
-113.929087,0.000694
-113.926841,0.000694
-113.924595,0.000694
-113.922348,0.000694
-113.920102,0.000694
-113.917856,0.000694
-113.915609,0.000694
-113.913363,0.000695
-113.911116,0.000695
-113.908870,0.000695
