#temperature 291.75.csv
#larmor 600
#isotope 1H 13C
assignment,shift,width,area
C1,189.7,1,1
C2,54.2,1,1
C3,238.6,1,1
C4,35.9,1,1
C5,188.5,1,1
C6,-127.2,1,1
C7,6.6,1,1
C8,64.3,1,1
C9,-969.7,1,1
C10,-417.0,1,1
C11,108.1,1,1
H2,7.76,1,1
H4,21.28,1,1
H8,4.01,1,1
H9,-69.4,1,1
H11,-7.14,1,1
H12,-3598,1,1
