#temperature 328.68
#larmor 600
#isotope 1H 13C
assignment,shift,width,area
C1,183.4,1,1
C2,61.7,1,1
C3,228.1,1,1
C4,45.5,1,1
C5,184.2,1,1
C6,-92.7,1,1
C7,9.8,1,1
C8,61.0,1,1
C9,-856.3,1,1
C10,-365.9,1,1
C11,99.4,1,1
H2,7.84,1,1
H4,20.01,1,1
H8,3.76,1,1
H9,-61.1,1,1
H11,-6.37,1,1
H12,-3195,1,1
