#temperature 259.89
#larmor 600
#isotope 1H 13C
assignment,shift,width,area
C1,196.6,1,1
C2,46.2,1,1
C3,250.0,1,1
C4,25.8,1,1
C5,193.6,1,1
C6,-163.8,1,1
C7,3.1,1,1
C8,67.8,1,1
C9,-1093.7,1,1
C10,-472.3,1,1
C11,117.4,1,1
H2,7.64,1,1
H4,22.71,1,1
H8,4.30,1,1
H9,-78.7,1,1
H11,-7.99,1,1
H12,-4032,1,1
