#temperature 217.93 
#larmor 600
#isotope 1H 13C
assignment,shift,width,area
C1,208.9,1,1
C2,32.4,1,1
C3,270.3,1,1
C4,8.4,1,1
C5,203.6,1,1
C6,-226.7,1,1
C7,-2.8,1,1
C8,74.0,1,1
C9,-1312.7,1,1
C10,-570.2,1,1
H2,7.36,1,1
H4,25.41,1,1
H8,4.81,1,1
H9,-95.4,1,1
H11,-9.61,1,1
H12,-4783,1,1
