#temperature 333.84
#larmor 600
#isotope 1H 13C
signal_label,shift,width,area
C1,182.6,1,1
C2,62.6,1,1
C3,226.8,1,1
C4,46.7,1,1
C5,183.7,1,1
C6,-88.3,1,1
C7,10.2,1,1
C8,60.6,1,1
C9,-841.3,1,1
C10,359.4,1,1
C11,98.5,1,1
H2,7.85,1,1
H4,19.86,1,1
H8,3.73,1,1
H9,-60.0,1,1
H11,-6.28,1,1
H12,-3144,1,1
