#temperature 318.30
#larmor 600
#isotope 1H 13C
signal_label,shift,width,area
C1,185.0,1,1
C2,59.7,1,1
C3,230.8,1,1
C4,42.9,1,1
C5,185.3,1,1
C6,-101.8,1,1
C7,9.0,1,1
C8,61.9,1,1
C9,-885.0,1,1
C10,-379.2,1,1
C11,101.8,1,1
H2,7.82,1,1
H4,20.34,1,1
H8,3.82,1,1
H9,-63.2,1,1
H11,-6.57,1,1
H12,-3301,1,1
