#temperature 338.97
#larmor 600
#isotope 1H 13C
signal_label,shift,width,area
C1,181.8,1,1
C2,63.5,1,1
C3,225.5,1,1
C4,47.8,1,1
C5,183.2,1,1
C6,-84.0,1,1
C7,10.6,1,1
C8,60.2,1,1
C9,-827.8,1,1
C10,-353.3,1,1
C11,97.4,1,1
H2,7.86,1,1
H4,19.71,1,1
H8,3.69,1,1
H9,-59.0,1,1
H11,-6.19,1,1
H12,-3088,1,1
