#temperature 286.38
#larmor 600
#isotope 1H 13C
signal_label,shift,width,area
C1,190.8,1,1
C2,52.9,1,1
C3,240.3,1,1
C4,34.4,1,1
C5,189.2,1,1
C6,-132.8,1,1
C7,6.0,1,1
C8,64.8,1,1
C9,-988.2,1,1
C10,-425.3,1,1
C11,109.2,1,1
H2,7.74,1,1
H4,21.49,1,1
H8,4.05,1,1
H9,-70.8,1,1
H11,-7.27,1,1
H12,-3667,1,1
