#temperature 313.07
#larmor 600
#isotope 1H 13C
signal_label,shift,width,area
C1,185.9,1,1
C2,58.6,1,1
C3,232.3,1,1
C4,41.6,1,1
C5,185.9,1,1
C6,-106.5,1,1
C7,8.5,1,1
C8,62.3,1,1
C9,-900.7,1,1
C10,-386.3,1,1
C11,102.9,1,1
H2,7.81,1,1
H4,20.51,1,1
H8,3.86,1,1
H9,-64.4,1,1
H11,-6.67,1,1
H12,-3356,1,1
