#temperature 244.09
#larmor 600
#isotope 1H 13C
signal_label,shift,width,area
C1,200.7,1,1
C2,41.5,1,1
C3,256.8,1,1
C4,19.9,1,1
C5,196.8,1,1
C6,-185.3,1,1
C7,1.1,1,1
C8,69.9,1,1
C9,-1167.5,1,1
C10,-505.4,1,1
H2,7.56,1,1
H4,23.60,1,1
H8,4.47,1,1
H9,-84.2,1,1
H11,-8.51,1,1
H12,-4289,1,1
