# This file was generated with ParaNMR v1.15.0 at 19:39:21 23-07-2026 
# T = 302.15 K
# objective = gmm
# score = 0.000295047
quantity,m1_norm,m2_norm,m3_norm,m4_norm,m5_norm,m6_norm
observed,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
calculated,0.322870,1.265553,0.681652,1.038906,0.502625,0.637761
