# This file was generated with ParaNMR v1.14.0 at 12:34:40 21-07-2026 
shift (ppm),intensity (a.u.)
-92.372128,0.000370
-92.370144,0.000370
-92.368160,0.000370
-92.366177,0.000370
-92.364193,0.000370
-92.362209,0.000370
-92.360226,0.000371
-92.358242,0.000371
-92.356258,0.000371
-92.354275,0.000371
-92.352291,0.000371
-92.350307,0.000371
-92.348324,0.000371
-92.346340,0.000371
-92.344356,0.000371
-92.342373,0.000371
-92.340389,0.000371
-92.338405,0.000371
-92.336422,0.000371
-92.334438,0.000371
-92.332454,0.000371
-92.330470,0.000371
-92.328487,0.000371
-92.326503,0.000372
-92.324519,0.000372
-92.322536,0.000372
-92.320552,0.000372
-92.318568,0.000372
-92.316585,0.000372
-92.314601,0.000372
-92.312617,0.000372
-92.310634,0.000372
-92.308650,0.000372
-92.306666,0.000372
-92.304683,0.000372
-92.302699,0.000372
-92.300715,0.000372
-92.298732,0.000372
-92.296748,0.000372
-92.294764,0.000372
-92.292781,0.000373
-92.290797,0.000373
-92.288813,0.000373
-92.286830,0.000373
-92.284846,0.000373
-92.282862,0.000373
-92.280879,0.000373
-92.278895,0.000373
-92.276911,0.000373
-92.274927,0.000373
-92.272944,0.000373
-92.270960,0.000373
-92.268976,0.000373
-92.266993,0.000373
-92.265009,0.000373
-92.263025,0.000373
-92.261042,0.000373
-92.259058,0.000374
-92.257074,0.000374
-92.255091,0.000374
-92.253107,0.000374
-92.251123,0.000374
-92.249140,0.000374
-92.247156,0.000374
-92.245172,0.000374
-92.243189,0.000374
-92.241205,0.000374
-92.239221,0.000374
-92.237238,0.000374
-92.235254,0.000374
-92.233270,0.000374
-92.231287,0.000374
-92.229303,0.000374
-92.227319,0.000375
-92.225336,0.000375
-92.223352,0.000375
-92.221368,0.000375
-92.219384,0.000375
-92.217401,0.000375
-92.215417,0.000375
-92.213433,0.000375
-92.211450,0.000375
-92.209466,0.000375
-92.207482,0.000375
-92.205499,0.000375
-92.203515,0.000375
-92.201531,0.000375
-92.199548,0.000375
-92.197564,0.000375
-92.195580,0.000375
-92.193597,0.000376
-92.191613,0.000376
-92.189629,0.000376
-92.187646,0.000376
-92.185662,0.000376
-92.183678,0.000376
-92.181695,0.000376
-92.179711,0.000376
-92.177727,0.000376
-92.175744,0.000376
-92.173760,0.000376
-92.171776,0.000376
-92.169793,0.000376
-92.167809,0.000376
-92.165825,0.000376
-92.163841,0.000376
-92.161858,0.000376
-92.159874,0.000377
-92.157890,0.000377
-92.155907,0.000377
-92.153923,0.000377
-92.151939,0.000377
-92.149956,0.000377
-92.147972,0.000377
-92.145988,0.000377
-92.144005,0.000377
-92.142021,0.000377
-92.140037,0.000377
-92.138054,0.000377
-92.136070,0.000377
-92.134086,0.000377
-92.132103,0.000377
-92.130119,0.000377
-92.128135,0.000378
-92.126152,0.000378
-92.124168,0.000378
-92.122184,0.000378
-92.120201,0.000378
-92.118217,0.000378
-92.116233,0.000378
-92.114249,0.000378
-92.112266,0.000378
-92.110282,0.000378
-92.108298,0.000378
-92.106315,0.000378
-92.104331,0.000378
-92.102347,0.000378
-92.100364,0.000378
-92.098380,0.000378
-92.096396,0.000378
-92.094413,0.000379
-92.092429,0.000379
-92.090445,0.000379
-92.088462,0.000379
-92.086478,0.000379
-92.084494,0.000379
-92.082511,0.000379
-92.080527,0.000379
-92.078543,0.000379
-92.076560,0.000379
-92.074576,0.000379
-92.072592,0.000379
-92.070609,0.000379
-92.068625,0.000379
-92.066641,0.000379
-92.064658,0.000379
-92.062674,0.000380
-92.060690,0.000380
-92.058706,0.000380
-92.056723,0.000380
-92.054739,0.000380
-92.052755,0.000380
-92.050772,0.000380
-92.048788,0.000380
-92.046804,0.000380
-92.044821,0.000380
-92.042837,0.000380
-92.040853,0.000380
-92.038870,0.000380
-92.036886,0.000380
-92.034902,0.000380
-92.032919,0.000380
-92.030935,0.000381
-92.028951,0.000381
-92.026968,0.000381
-92.024984,0.000381
-92.023000,0.000381
-92.021017,0.000381
-92.019033,0.000381
-92.017049,0.000381
-92.015066,0.000381
-92.013082,0.000381
-92.011098,0.000381
-92.009115,0.000381
-92.007131,0.000381
-92.005147,0.000381
-92.003163,0.000381
-92.001180,0.000381
-91.999196,0.000382
-91.997212,0.000382
-91.995229,0.000382
-91.993245,0.000382
-91.991261,0.000382
-91.989278,0.000382
-91.987294,0.000382
-91.985310,0.000382
-91.983327,0.000382
-91.981343,0.000382
-91.979359,0.000382
-91.977376,0.000382
-91.975392,0.000382
-91.973408,0.000382
-91.971425,0.000382
-91.969441,0.000382
-91.967457,0.000382
-91.965474,0.000383
-91.963490,0.000383
-91.961506,0.000383
-91.959523,0.000383
-91.957539,0.000383
-91.955555,0.000383
-91.953572,0.000383
-91.951588,0.000383
-91.949604,0.000383
-91.947620,0.000383
-91.945637,0.000383
-91.943653,0.000383
-91.941669,0.000383
-91.939686,0.000383
-91.937702,0.000383
-91.935718,0.000383
-91.933735,0.000384
-91.931751,0.000384
-91.929767,0.000384
-91.927784,0.000384
-91.925800,0.000384
-91.923816,0.000384
-91.921833,0.000384
-91.919849,0.000384
-91.917865,0.000384
-91.915882,0.000384
-91.913898,0.000384
-91.911914,0.000384
-91.909931,0.000384
-91.907947,0.000384
-91.905963,0.000384
-91.903980,0.000384
-91.901996,0.000385
-91.900012,0.000385
-91.898029,0.000385
-91.896045,0.000385
-91.894061,0.000385
-91.892077,0.000385
-91.890094,0.000385
-91.888110,0.000385
-91.886126,0.000385
-91.884143,0.000385
-91.882159,0.000385
-91.880175,0.000385
-91.878192,0.000385
-91.876208,0.000385
-91.874224,0.000385
-91.872241,0.000385
-91.870257,0.000386
-91.868273,0.000386
-91.866290,0.000386
-91.864306,0.000386
-91.862322,0.000386
-91.860339,0.000386
-91.858355,0.000386
-91.856371,0.000386
-91.854388,0.000386
-91.852404,0.000386
-91.850420,0.000386
-91.848437,0.000386
-91.846453,0.000386
-91.844469,0.000386
-91.842485,0.000386
-91.840502,0.000387
-91.838518,0.000387
-91.836534,0.000387
-91.834551,0.000387
-91.832567,0.000387
-91.830583,0.000387
-91.828600,0.000387
-91.826616,0.000387
-91.824632,0.000387
-91.822649,0.000387
-91.820665,0.000387
-91.818681,0.000387
-91.816698,0.000387
-91.814714,0.000387
-91.812730,0.000387
-91.810747,0.000387
-91.808763,0.000388
-91.806779,0.000388
-91.804796,0.000388
-91.802812,0.000388
-91.800828,0.000388
-91.798845,0.000388
-91.796861,0.000388
-91.794877,0.000388
-91.792894,0.000388
-91.790910,0.000388
-91.788926,0.000388
-91.786942,0.000388
-91.784959,0.000388
-91.782975,0.000388
-91.780991,0.000388
-91.779008,0.000388
-91.777024,0.000389
-91.775040,0.000389
-91.773057,0.000389
-91.771073,0.000389
-91.769089,0.000389
-91.767106,0.000389
-91.765122,0.000389
-91.763138,0.000389
-91.761155,0.000389
-91.759171,0.000389
-91.757187,0.000389
-91.755204,0.000389
-91.753220,0.000389
-91.751236,0.000389
-91.749253,0.000389
-91.747269,0.000390
-91.745285,0.000390
-91.743302,0.000390
-91.741318,0.000390
-91.739334,0.000390
-91.737351,0.000390
-91.735367,0.000390
-91.733383,0.000390
-91.731399,0.000390
-91.729416,0.000390
-91.727432,0.000390
-91.725448,0.000390
-91.723465,0.000390
-91.721481,0.000390
-91.719497,0.000390
-91.717514,0.000390
-91.715530,0.000391
-91.713546,0.000391
-91.711563,0.000391
-91.709579,0.000391
-91.707595,0.000391
-91.705612,0.000391
-91.703628,0.000391
-91.701644,0.000391
-91.699661,0.000391
-91.697677,0.000391
-91.695693,0.000391
-91.693710,0.000391
-91.691726,0.000391
-91.689742,0.000391
-91.687759,0.000391
-91.685775,0.000392
-91.683791,0.000392
-91.681808,0.000392
-91.679824,0.000392
-91.677840,0.000392
-91.675856,0.000392
-91.673873,0.000392
-91.671889,0.000392
-91.669905,0.000392
-91.667922,0.000392
-91.665938,0.000392
-91.663954,0.000392
-91.661971,0.000392
-91.659987,0.000392
-91.658003,0.000392
-91.656020,0.000392
-91.654036,0.000393
-91.652052,0.000393
-91.650069,0.000393
-91.648085,0.000393
-91.646101,0.000393
-91.644118,0.000393
-91.642134,0.000393
-91.640150,0.000393
-91.638167,0.000393
-91.636183,0.000393
