# This file was generated with ParaNMR v1.15.0 at 19:39:21 23-07-2026 
# T = 302.15 K
quantity,ax,rho_over_ax,alpha,beta,gamma,p1,p2
m1,2.690191,1.332989,0.004455,-0.023834,0.004455,0.000000,0.000000
m2,22.812737,0.974443,0.002246,-0.006166,0.002246,0.000000,0.000165
m3,17.617357,-1.901966,-0.006769,-0.005320,-0.006769,-0.000000,-0.000027
m4,37.435576,1.169951,0.007707,-0.005195,0.007707,0.000000,0.000381
m5,22.172217,-1.032350,-0.009148,-0.000618,-0.009148,0.000000,0.000120
m6,34.494320,0.755265,0.008183,-0.001215,0.008183,0.000000,0.000509
