# This file was generated with ParaNMR v1.14.0 at 12:34:37 21-07-2026 
# T = 302.15 K
# method = monte_carlo
# n_samples = 500
# random_seed = 12345
# shift_sigma_abs = 0.02
# width_sigma_rel = 0.05
quantity,m1,m2,m3,m4,m5,m6
m1,0.000026,0.000153,-0.058880,-2.894496,-730.220802,-62857.255508
m2,0.000153,0.076321,1.694618,710.418747,58529.493277,10464334.170954
m3,-0.058880,1.694618,749.446813,72931.462301,12727872.205963,1426896695.559735
m4,-2.894496,710.418747,72931.462301,13964158.735383,1618346063.477297,240679673284.806122
m5,-730.220802,58529.493277,12727872.205963,1618346063.477297,247341204440.249969,30778583785548.984375
m6,-62857.255508,10464334.170954,1426896695.559735,240679673284.806122,30778583785548.984375,4354761727299216.000000
